fips,name,state,pct_open_water,pct_perennial_ice_snow,pct_developed_open,pct_developed_low,pct_developed_medium,pct_developed_high,pct_barren_land,pct_deciduous_forest,pct_evergreen_forest,pct_mixed_forest,pct_shrub_scrub,pct_grassland,pct_pasture_hay,pct_cultivated_crops,pct_woody_wetlands,pct_emergent_wetlands,pct_developed_total,pct_forest_total,pct_environmental_barrier,pct_potentially_developable,pct_total_check
40075,Kiowa,40,1.27,0.0,4.94,1.34,0.18,0.03,0.12,0.35,0.64,0.0,4.7,41.69,0.52,43.42,0.56,0.24,49.91,0.99,2.07,47.03,100.0
46079,Lake,46,3.25,0.0,4.39,1.35,0.36,0.06,0.07,0.63,0.0,0.01,0.0,1.16,13.26,70.56,0.01,4.9,76.72,0.64,8.16,14.49,100.01
37033,Caswell,37,0.85,0.0,5.24,1.92,0.2,0.02,0.08,34.56,11.03,16.9,3.9,3.23,19.69,1.5,0.88,0.01,8.88,62.49,1.74,26.9,100.01
48377,Presidio,48,0.01,0.0,0.15,0.43,0.08,0.0,0.09,0.0,1.77,0.0,94.59,2.25,0.0,0.04,0.57,0.02,0.7,1.77,0.6,96.93,100.0
39057,Greene,39,0.43,0.0,9.88,9.25,4.1,1.0,0.61,13.38,0.02,0.5,0.05,0.07,12.76,47.43,0.23,0.29,71.66,13.9,0.95,13.49,100.0
48489,Willacy,48,16.52,0.0,1.04,2.03,0.29,0.05,2.93,0.0,0.49,0.08,11.46,7.01,8.54,36.48,0.6,12.47,39.89,0.57,29.59,29.94,99.99
35028,Los Alamos,35,0.07,0.0,2.27,6.15,2.26,0.27,0.0,0.64,25.94,0.24,61.2,0.68,0.15,0.0,0.11,0.04,10.95,26.82,0.22,62.03,100.02
40023,Choctaw,40,3.64,0.0,2.89,1.04,0.26,0.04,0.8,22.25,3.74,4.04,1.06,6.09,46.16,1.59,5.32,1.06,5.82,30.03,10.02,54.11,99.98
20041,Dickinson,20,0.46,0.0,2.94,2.51,0.44,0.07,0.21,3.43,0.02,0.0,0.0,38.06,0.05,51.35,0.38,0.06,57.31,3.45,0.9,38.32,99.98
48427,Starr,48,0.23,0.0,0.94,1.7,0.74,0.06,0.42,0.0,0.0,0.07,71.65,1.92,14.74,6.21,1.14,0.18,9.65,0.07,1.55,88.73,100.0
13103,Effingham,13,1.1,0.0,6.28,4.44,0.92,0.46,0.54,0.01,26.22,0.07,4.38,4.13,1.39,7.56,40.79,1.7,19.66,26.3,43.59,10.44,99.99
40129,Roger Mills,40,0.17,0.0,3.56,1.75,0.19,0.01,0.19,4.95,0.44,0.51,7.71,70.34,0.45,9.36,0.26,0.13,14.87,5.9,0.56,78.69,100.02
55103,Richland,55,0.47,0.0,4.34,1.34,0.29,0.06,0.09,45.73,0.41,1.45,0.14,0.22,25.01,16.97,1.92,1.56,23.0,47.59,3.95,25.46,100.0
35025,Lea,35,0.03,0.0,2.28,1.26,0.28,0.02,0.19,0.0,0.0,0.0,88.48,4.69,0.01,2.68,0.01,0.07,6.52,0.0,0.11,93.37,100.0
01075,Lamar,01,0.2,0.0,5.49,0.91,0.16,0.04,0.05,17.11,25.51,11.88,6.08,4.76,9.22,0.74,17.31,0.53,7.34,54.5,18.04,20.11,99.99
47117,Marshall,47,0.16,0.0,6.47,2.57,0.71,0.22,0.35,25.93,5.94,10.44,0.18,0.47,43.53,2.93,0.04,0.05,12.9,42.31,0.25,44.53,99.99
51011,Appomattox,51,0.34,0.0,5.26,1.26,0.24,0.05,0.04,27.05,15.39,14.25,6.77,5.87,21.25,1.28,0.92,0.0,8.09,56.69,1.26,33.93,99.97
05087,Madison,05,0.04,0.0,3.47,0.54,0.23,0.02,0.08,63.84,0.95,1.74,0.57,0.61,27.83,0.02,0.03,0.02,4.28,66.53,0.09,29.09,99.99
22089,St. Charles,22,29.61,0.0,2.07,3.59,2.36,1.02,0.01,0.0,0.01,0.05,0.0,0.11,4.16,1.26,20.47,35.3,10.3,0.06,85.38,4.28,100.02
05111,Poinsett,05,1.51,0.0,1.9,2.44,0.4,0.08,0.18,3.13,0.1,0.28,0.03,0.05,2.45,76.95,10.42,0.08,81.77,3.51,12.01,2.71,100.0
12045,Gulf,12,20.48,0.0,2.66,2.34,0.3,0.04,1.01,0.0,4.67,0.0,2.31,6.09,1.04,0.08,37.18,12.11,5.42,4.67,69.77,10.45,90.31
47063,Hamblen,47,7.34,0.0,15.05,9.58,2.92,1.19,1.16,19.17,1.56,4.12,0.21,0.74,35.55,1.26,0.04,0.11,30.0,24.85,7.49,37.66,100.0
21007,Ballard,21,7.23,0.0,4.51,1.11,0.34,0.07,0.01,12.29,0.04,0.25,0.01,0.04,9.49,48.07,14.3,2.24,54.1,12.58,23.77,9.55,100.0
48009,Archer,48,1.53,0.0,2.11,1.13,0.2,0.02,0.16,0.57,0.36,0.0,12.45,66.1,0.03,15.16,0.09,0.11,18.62,0.93,1.73,78.74,100.02
48023,Baylor,48,3.71,0.0,2.02,0.56,0.14,0.02,0.2,0.03,1.1,0.04,46.78,21.09,0.2,23.63,0.33,0.17,26.37,1.17,4.21,68.27,100.02
48405,San Augustine,48,9.29,0.0,3.71,1.09,0.36,0.11,0.21,0.28,46.15,7.59,3.55,3.87,10.04,0.0,12.41,1.33,5.27,54.02,23.03,17.67,99.99
