fips,county_name,state_fips,pct_gap1,pct_gap2,pct_gap3,pct_gap1_2,pct_gap1_2_3
40075,Kiowa,40,0.0,1.54,1.28,1.54,2.81
46079,Lake,46,0.0,9.04,3.31,9.04,12.35
37033,Caswell,37,0.54,0.73,6.73,1.27,8.0
48377,Presidio,48,1.98,3.49,11.61,5.47,17.08
39057,Greene,39,0.0,1.14,0.13,1.14,1.27
48489,Willacy,48,0.32,24.95,0.0,25.26,25.26
35028,Los Alamos,35,13.97,0.07,53.54,14.04,67.58
40023,Choctaw,40,0.15,3.75,1.68,3.9,5.58
20041,Dickinson,20,0.0,0.36,0.0,0.36,0.36
48427,Starr,48,0.0,5.46,0.09,5.46,5.55
13103,Effingham,13,0.28,10.38,0.0,10.66,10.66
40129,Roger Mills,40,0.0,0.0,4.23,0.0,4.23
55103,Richland,55,1.73,1.48,0.0,3.21,3.21
35025,Lea,35,0.04,0.06,15.04,0.1,15.13
01075,Lamar,01,0.0,2.73,0.0,2.73,2.73
47117,Marshall,47,0.0,0.16,0.55,0.16,0.71
51011,Appomattox,51,0.0,0.39,14.35,0.39,14.74
05087,Madison,05,0.31,2.65,9.2,2.96,12.15
22089,St. Charles,22,0.0,0.89,13.0,0.89,13.9
05111,Poinsett,05,0.11,4.63,0.0,4.74,4.74
12045,Gulf,12,1.11,32.7,3.36,33.81,37.17
47063,Hamblen,47,0.0,0.1,5.98,0.1,6.08
21007,Ballard,21,0.26,10.86,0.01,11.12,11.13
48009,Archer,48,0.0,0.0,0.02,0.0,0.02
48023,Baylor,48,0.0,0.0,0.0,0.0,0.0
48405,San Augustine,48,1.46,6.84,18.23,8.3,26.53
32029,Storey,32,0.22,0.12,8.94,0.34,9.28
13249,Schley,13,0.0,0.07,0.0,0.07,0.07
48313,Madison,48,0.0,0.0,0.0,0.0,0.0
06077,San Joaquin,06,0.0,2.93,0.34,2.93,3.28
28159,Winston,28,0.0,13.41,10.3,13.41,23.7
21103,Henry,21,0.16,1.56,1.12,1.72,2.84
21167,Mercer,21,0.0,0.59,4.63,0.59,5.22
31183,Wheeler,31,0.0,0.44,0.03,0.44,0.47
21135,Lewis,21,0.23,0.34,0.0,0.57,0.58
27051,Grant,27,0.0,8.98,3.26,8.98,12.24
28053,Humphreys,28,0.0,13.13,2.79,13.13,15.93
01025,Clarke,01,0.0,3.36,0.73,3.36,4.09
20017,Chase,20,2.17,10.63,1.06,12.81,13.87
21221,Trigg,21,0.0,0.59,43.94,0.59,44.52
19099,Jasper,19,0.0,4.44,0.0,4.44,4.44
28153,Wayne,28,0.0,0.0,20.32,0.0,20.32
48101,Cottle,48,0.0,4.91,0.0,4.91,4.91
51081,Greensville,51,0.0,0.2,1.01,0.2,1.21
12105,Polk,12,1.79,3.22,14.2,5.02,19.22
48503,Young,48,0.0,0.0,0.0,0.0,0.0
01123,Tallapoosa,01,0.0,0.08,1.66,0.08,1.74
33015,Rockingham,33,1.58,6.06,15.18,7.64,22.82
08105,Rio Grande,08,0.39,7.08,73.06,7.47,80.53
19149,Plymouth,19,0.0,1.81,0.0,1.81,1.81
36123,Yates,36,0.0,0.5,3.33,0.5,3.82
53033,King,53,12.58,15.48,35.21,28.06,63.26
41017,Deschutes,41,6.64,3.53,90.98,10.17,101.14
19155,Pottawattamie,19,0.0,0.43,0.01,0.43,0.44
29043,Christian,29,0.0,0.93,16.51,0.93,17.43
28073,Lamar,28,0.0,0.1,3.09,0.1,3.2
18137,Ripley,18,0.0,0.15,0.0,0.15,0.15
38057,Mercer,38,0.0,1.09,2.1,1.09,3.19
13147,Hart,13,0.0,0.6,0.09,0.6,0.7
22049,Jackson,22,0.09,0.0,4.97,0.09,5.06
51133,Northumberland,51,0.8,1.62,3.81,2.43,6.24
48157,Fort Bend,48,0.38,0.92,0.93,1.3,2.24
55047,Green Lake,55,0.22,8.98,0.0,9.2,9.21
30073,Pondera,30,1.24,5.44,25.63,6.68,32.31
55127,Walworth,55,0.46,4.0,2.36,4.45,6.81
32021,Mineral,32,0.0,3.36,90.0,3.37,93.36
18067,Howard,18,0.0,0.04,0.0,0.04,0.04
18125,Pike,18,0.78,9.02,2.96,9.8,12.76
