fips,county_name,state_fips,is_hyperscaler,energy_raw,energy_vs_hyperscalers,energy_vs_national,land_raw,land_vs_hyperscalers,land_vs_national,broadband_raw,broadband_vs_hyperscalers,broadband_vs_national,water_raw,water_vs_hyperscalers,water_vs_national
40075,Kiowa,40,0,368.8,28.4,60.8,47.03,74.1,78.9,51.58,44.7,47.4,52.8,14.1,8.8
46079,Lake,46,0,,,,14.49,37.6,38.0,45.56,37.6,40.5,22.6,68.2,56.6
37033,Caswell,37,0,17.9,7.4,17.5,26.9,56.5,61.1,60.55,58.8,58.0,23.9,65.9,52.8
48377,Presidio,48,0,10.0,6.2,13.2,96.93,100.0,99.5,76.25,83.5,76.1,58.2,8.2,4.2
39057,Greene,39,0,176.8,16.0,45.3,13.49,35.3,35.6,53.15,44.7,49.2,9.0,94.1,92.5
48489,Willacy,48,0,1444.6,61.7,85.0,29.94,58.8,65.3,86.26,91.8,85.2,47.8,17.6,14.3
35028,Los Alamos,35,0,1.0,1.2,0.9,62.03,83.5,86.7,1.87,1.2,3.1,58.9,8.2,3.8
40023,Choctaw,40,0,531.0,35.8,67.5,54.11,78.8,83.2,33.03,22.4,26.8,41.5,29.4,20.7
20041,Dickinson,20,0,2.6,2.5,3.7,38.32,67.1,73.1,61.74,60.0,59.5,27.2,54.1,43.1
48427,Starr,48,0,1846.4,70.4,89.1,88.73,97.6,96.9,59.3,56.5,56.6,54.2,12.9,7.5
13103,Effingham,13,0,2956.0,81.5,95.2,10.44,30.6,28.1,97.33,97.6,94.3,34.6,40.0,29.5
40129,Roger Mills,40,0,453.1,30.9,64.6,78.69,92.9,93.2,19.98,7.1,14.9,53.8,12.9,7.8
55103,Richland,55,0,56.4,11.1,27.8,25.46,56.5,58.5,72.22,78.8,72.1,18.1,74.1,67.5
35025,Lea,35,0,2369.3,79.0,92.4,93.37,100.0,98.5,76.31,83.5,76.1,57.1,9.4,5.0
01075,Lamar,1,0,,,,20.11,43.5,49.0,99.97,100.0,98.1,20.4,70.6,62.2
47117,Marshall,47,0,,,,44.53,71.8,77.4,47.26,38.8,42.4,20.8,70.6,61.4
51011,Appomattox,51,0,15.7,7.4,16.7,33.93,63.5,69.6,50.98,44.7,46.9,17.9,74.1,68.0
05087,Madison,5,0,5.0,3.7,7.7,29.09,57.6,64.4,92.58,94.1,90.3,21.6,69.4,59.4
22089,St. Charles,22,0,6547.0,95.1,99.3,4.28,5.9,10.0,57.75,52.9,54.5,24.1,65.9,52.0
