company,city,county,state,state_abbr,fips,status,online_year
Meta,Huntsville,Madison,Alabama,AL,,online,2021
Meta,Montgomery,Montgomery,Alabama,AL,,under construction,
Meta,Mesa,Maricopa,Arizona,AZ,,online,2025
Meta,Stanton Springs,Newton,Georgia,GA,,online,2020
Meta,Kuna,Ada,Idaho,ID,,under construction,
Meta,DeKalb,DeKalb,Illinois,IL,,online,2023
Meta,Jeffersonville,Clark,Indiana,IN,,under construction,
Meta,Lebanon,Boone,Indiana,IN,,under construction,
Meta,Altoona,Polk,Iowa,IA,,online,2014
Meta,Holly Ridge,Richland Parish,Louisiana,LA,,under construction,
Meta,Rosemount,Dakota,Minnesota,MN,,under construction,
Meta,Kansas City,Platte,Missouri,MO,,online,2025
Meta,Springfield,Sarpy,Nebraska,NE,,online,2019
Meta,Los Lunas,Valencia,New Mexico,NM,,online,2019
Meta,Forest City,Rutherford,North Carolina,NC,,online,2012
Meta,Bowling Green,Wood,Ohio,OH,,under construction,
Meta,New Albany,Franklin,Ohio,OH,,under construction,
Meta,Tulsa,Tulsa,Oklahoma,OK,,under construction,
Meta,Prineville,Crook,Oregon,OR,,online,2011
Meta,Aiken,Aiken,South Carolina,SC,,under construction,
Meta,Gallatin,Sumner,Tennessee,TN,,online,2024
Meta,El Paso,El Paso,Texas,TX,,under construction,
Meta,Fort Worth,Tarrant,Texas,TX,,online,2017
Meta,Temple,Bell,Texas,TX,,under construction,
Meta,Eagle Mountain,Utah,Utah,UT,,online,2021
Meta,Henrico,Henrico,Virginia,VA,,online,2020
Meta,Beaver Dam,Dodge,Wisconsin,WI,,under construction,
Meta,Cheyenne,Laramie,Wyoming,WY,,under construction,
Apple,Newton,Catawba,North Carolina,NC,,under construction,
Apple,Mesa,Maricopa,Arizona,AZ,,online,2017
Apple,Newark,Alameda,California,CA,,online,2006
Apple,Prineville,Crook,Oregon,OR,,online,2023
Apple,Waukee,Dallas,Iowa,IA,,online,2024
Apple,Reno,Washoe,Nevada,NV,,online,2012
Amazon,Ashburn,Loudoun,Virginia,VA,,online,2006
Amazon,Manassas,Prince William,Virginia,VA,,online,2011
Amazon,Mudd Tavern,Spotsylvania,Virginia,VA,,under construction,
Amazon,Boardman,Morrow,Oregon,OR,,online,2011
Amazon,Hermiston,Umatilla,Oregon,OR,,online,2017
Amazon,Arlington,Gilliam,Oregon,OR,,under construction,
Amazon,Hilliard,Franklin,Ohio,OH,,online,2016
Amazon,New Albany,Licking,Ohio,OH,,online,2016
Amazon,Sunbury,Delaware,Ohio,OH,,under construction,
Amazon,Gilroy,Santa Clara,California,CA,,under construction,
Amazon,New Carlisle,St. Joseph,Indiana,IN,,online,2025
Amazon,Canton,Madison,Mississippi,MS,,under construction,
Amazon,Vicksburg,Warren,Mississippi,MS,,under construction,
Amazon,Jackson,Hinds,Mississippi,MS,,under construction,
Amazon,Salem Township,Luzerne,Pennsylvania,PA,,under construction,
Amazon,Covington,Newton,Georgia,GA,,under construction,
