fips,county,state,total_weeks,pct_weeks_d1_plus,avg_d1_coverage,avg_d2_coverage,avg_d3_coverage,max_d3_coverage
01001,Autauga County,AL,1252,29.2,22.2,11.8,6.1,100.0
01003,Baldwin County,AL,1252,27.9,20.9,9.7,3.7,100.0
01005,Barbour County,AL,1252,36.0,29.2,17.8,9.5,100.0
01007,Bibb County,AL,1252,27.5,21.2,12.0,6.7,100.0
01009,Blount County,AL,1252,23.0,19.4,12.0,7.5,100.0
01011,Bullock County,AL,1252,32.5,28.5,17.0,8.8,100.0
01013,Butler County,AL,1252,30.0,23.1,10.6,4.3,100.0
01015,Calhoun County,AL,1252,30.2,25.4,14.1,7.4,100.0
01017,Chambers County,AL,1252,36.3,32.5,23.2,12.6,100.0
01019,Cherokee County,AL,1252,29.7,24.2,14.3,7.6,100.0
01021,Chilton County,AL,1252,29.6,22.9,13.1,7.0,100.0
01023,Choctaw County,AL,1252,21.7,15.6,6.1,2.7,100.0
01025,Clarke County,AL,1252,28.2,16.6,7.4,2.7,100.0
01027,Clay County,AL,1252,34.7,29.7,17.6,9.8,100.0
01029,Cleburne County,AL,1252,35.0,28.4,16.5,8.0,100.0
01031,Coffee County,AL,1252,31.1,25.9,13.8,6.6,100.0
01033,Colbert County,AL,1252,21.6,16.8,7.8,4.0,100.0
01035,Conecuh County,AL,1252,29.9,21.8,11.3,3.8,100.0
01037,Coosa County,AL,1252,34.0,26.8,16.1,8.6,100.0
01039,Covington County,AL,1252,29.9,24.0,14.1,5.2,100.0
01041,Crenshaw County,AL,1252,31.7,25.1,12.6,5.7,100.0
01043,Cullman County,AL,1252,22.7,18.2,11.2,6.9,100.0
01045,Dale County,AL,1252,31.7,27.4,16.4,7.8,100.0
01047,Dallas County,AL,1252,26.5,19.4,8.9,4.9,100.0
01049,DeKalb County,AL,1252,25.8,21.5,13.6,7.7,100.0
01051,Elmore County,AL,1252,32.2,27.2,18.1,9.4,100.0
01053,Escambia County,AL,1252,26.9,21.5,12.0,4.0,100.0
01055,Etowah County,AL,1252,26.1,21.2,12.7,7.5,100.0
01057,Fayette County,AL,1252,21.6,17.2,10.4,5.4,100.0
01059,Franklin County,AL,1252,20.8,15.8,8.2,3.9,100.0
01061,Geneva County,AL,1252,30.1,25.3,15.2,6.9,100.0
01063,Greene County,AL,1252,21.4,15.9,8.3,4.0,100.0
01065,Hale County,AL,1252,22.6,17.3,9.5,4.9,100.0
01067,Henry County,AL,1252,34.5,30.1,18.9,9.7,100.0
01069,Houston County,AL,1252,33.9,27.8,16.0,7.7,100.0
01071,Jackson County,AL,1252,25.4,21.3,13.2,7.8,100.0
01073,Jefferson County,AL,1252,27.3,20.4,12.1,7.3,100.0
01075,Lamar County,AL,1252,20.4,16.7,9.3,3.9,100.0
01077,Lauderdale County,AL,1252,22.1,17.0,7.9,4.0,100.0
01079,Lawrence County,AL,1252,20.8,16.8,10.5,5.1,100.0
01081,Lee County,AL,1252,34.5,30.7,22.4,12.9,100.0
01083,Limestone County,AL,1252,22.0,18.8,10.8,6.0,100.0
01085,Lowndes County,AL,1252,29.5,23.3,10.4,5.2,100.0
01087,Macon County,AL,1252,33.0,28.9,20.6,10.9,100.0
01089,Madison County,AL,1252,22.6,19.4,11.5,6.8,100.0
01091,Marengo County,AL,1252,23.5,17.0,7.3,3.7,100.0
01093,Marion County,AL,1252,20.6,16.3,9.0,4.0,100.0
01095,Marshall County,AL,1252,23.7,19.8,12.3,7.6,100.0
01097,Mobile County,AL,1252,25.2,18.7,8.8,4.2,100.0
01099,Monroe County,AL,1252,28.7,19.6,8.5,3.3,100.0
01101,Montgomery County,AL,1252,30.7,26.6,16.0,7.3,100.0
01103,Morgan County,AL,1252,22.0,17.6,11.2,6.5,100.0
01105,Perry County,AL,1252,24.4,18.4,10.0,5.4,100.0
01107,Pickens County,AL,1252,20.6,17.1,8.7,4.6,100.0
01109,Pike County,AL,1252,32.7,26.5,14.2,7.1,100.0
01111,Randolph County,AL,1252,36.7,31.9,20.2,10.7,100.0
01113,Russell County,AL,1252,34.1,31.0,20.7,11.0,100.0
01115,Saint Clair County,AL,1252,27.7,20.5,13.0,7.7,100.0
01117,Shelby County,AL,1252,30.0,23.2,13.4,7.9,100.0
01119,Sumter County,AL,1252,21.5,15.0,6.6,2.9,100.0
01121,Talladega County,AL,1252,32.6,25.2,13.4,7.4,100.0
01123,Tallapoosa County,AL,1252,34.8,31.1,21.6,12.6,100.0
01125,Tuscaloosa County,AL,1252,26.9,19.0,11.3,6.6,100.0
01127,Walker County,AL,1252,22.4,18.1,11.8,6.2,100.0
01129,Washington County,AL,1252,22.7,15.5,7.7,2.8,100.0
01131,Wilcox County,AL,1252,25.8,19.4,7.7,3.6,100.0
01133,Winston County,AL,1252,19.9,16.7,10.4,5.3,100.0
02013,Aleutians East Borough,AK,1252,0.2,0.0,0.0,0.0,0.0
02016,Aleutians West Census Area,AK,1252,0.0,0.0,0.0,0.0,0.0
02020,Anchorage Municipality,AK,1252,3.8,2.6,0.5,0.1,36.7
02050,Bethel Census Area,AK,1252,2.4,0.4,0.0,0.0,0.0
02060,Bristol Bay Borough,AK,1252,0.2,0.2,0.0,0.0,0.0
02063,Chugach Census Area,AK,1252,2.9,0.8,0.2,0.0,0.0
02066,Copper River Census Area,AK,1252,4.6,0.7,0.0,0.0,0.0
02068,Denali Borough,AK,1252,5.6,1.6,0.2,0.0,0.0
02070,Dillingham Census Area,AK,1252,1.4,0.6,0.0,0.0,0.0
02090,Fairbanks North Star Borough,AK,1252,4.8,3.6,0.5,0.0,0.0
02100,Haines Borough,AK,1252,2.3,1.1,0.0,0.0,0.0
02105,Hoonah-Angoon Census Area,AK,1252,5.7,2.0,0.0,0.0,0.0
02110,Juneau City and Borough,AK,1252,3.3,2.8,0.0,0.0,0.0
02122,Kenai Peninsula Borough,AK,1252,4.0,1.3,0.2,0.0,7.9
02130,Ketchikan Gateway Borough,AK,1252,6.9,6.9,2.7,0.3,17.4
02150,Kodiak Island Borough,AK,1252,1.5,1.0,0.3,0.0,0.0
02158,Kusilvak Census Area,AK,1252,0.5,0.2,0.0,0.0,0.0
02164,Lake and Peninsula Borough,AK,1252,1.6,0.5,0.0,0.0,0.0
02170,Matanuska-Susitna Borough,AK,1252,5.5,1.2,0.1,0.0,6.8
02180,Nome Census Area,AK,1252,0.0,0.0,0.0,0.0,0.0
