AK-013	Aleutians East Borough, AK
AK-016	Aleutians West Census Area, AK
AK-020	Anchorage Municipality, AK
AK-050	Bethel Census Area, AK
AK-060	Bristol Bay Borough, AK
AK-063	Chugach Census Area, AK
AK-066	Copper River Census Area, AK
AK-068	Denali Borough, AK
AK-070	Dillingham Census Area, AK
AK-090	Fairbanks North Star Borough, AK
AK-100	Haines Borough, AK
AK-105	Hoonah-Angoon Census Area, AK
AK-110	Juneau City and Borough, AK
AK-122	Kenai Peninsula Borough, AK
AK-130	Ketchikan Gateway Borough, AK
AK-150	Kodiak Island Borough, AK
AK-158	Kusilvak Census Area, AK
AK-164	Lake and Peninsula Borough, AK
AK-170	Matanuska-Susitna Borough, AK
AK-180	Nome Census Area, AK
AK-185	North Slope Borough, AK
AK-188	Northwest Arctic Borough, AK
AK-195	Petersburg Borough, AK
AK-198	Prince of Wales-Hyder Census Area, AK
AK-220	Sitka City and Borough, AK
AK-230	Skagway Municipality, AK
AK-240	Southeast Fairbanks Census Area, AK
AK-275	Wrangell City and Borough, AK
AK-282	Yakutat City and Borough, AK
AK-290	Yukon-Koyukuk Census Area, AK
AL-001	Autauga County, AL
AL-003	Baldwin County, AL
AL-005	Barbour County, AL
AL-007	Bibb County, AL
AL-009	Blount County, AL
AL-011	Bullock County, AL
AL-013	Butler County, AL
AL-015	Calhoun County, AL
AL-017	Chambers County, AL
AL-019	Cherokee County, AL
AL-021	Chilton County, AL
AL-023	Choctaw County, AL
AL-025	Clarke County, AL
AL-027	Clay County, AL
AL-029	Cleburne County, AL
AL-031	Coffee County, AL
AL-033	Colbert County, AL
AL-035	Conecuh County, AL
AL-037	Coosa County, AL
AL-039	Covington County, AL
AL-041	Crenshaw County, AL
AL-043	Cullman County, AL
AL-045	Dale County, AL
AL-047	Dallas County, AL
AL-049	DeKalb County, AL
AL-051	Elmore County, AL
AL-053	Escambia County, AL
AL-055	Etowah County, AL
AL-057	Fayette County, AL
AL-059	Franklin County, AL
AL-061	Geneva County, AL
AL-063	Greene County, AL
AL-065	Hale County, AL
AL-067	Henry County, AL
AL-069	Houston County, AL
AL-071	Jackson County, AL
AL-073	Jefferson County, AL
AL-075	Lamar County, AL
AL-077	Lauderdale County, AL
AL-079	Lawrence County, AL
